x,y,_zx_row_id,_zx_status,_zx_hook_stage,_zx_error,_zx_started_at,_zx_completed_at,_zx_run_dir,_zx_iteration,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,f1,f2
-1.0,0.5,0,,,,,,,,,,,,,,,,,,,
0.0,0.0,1,,,,,,,,,,,,,,,,,,,
0.08,0.71,2,,,,,,,,,,,,,,,,,,,
1.5,-0.5,3,,,,,,,,,,,,,,,,,,,
,,4,completed,,,2026-06-12T13:54:35.437443,2026-06-12T13:54:35.499523,/Users/cianely/zX/zdt1test/runs/run_4,0.0,0.0773642571978274,0.2813025787503591,0.576886312520673,0.521468401490609,0.4643822037991932,0.972069492161804,0.3929620369459697,0.8915625803361127,0.2996329162617998,0.9047151922409604,0.0773642571978274,5.606569066434184
,,5,completed,,,2026-06-12T13:54:35.502158,2026-06-12T13:54:35.552650,/Users/cianely/zX/zdt1test/runs/run_5,0.0,0.8690079106904538,0.4378758836836788,0.3712702437327518,0.22583944109703,0.8796390075265849,0.4474118776400803,0.4209839430829487,0.989285671479143,0.1976532855398954,0.5973798926777821,0.8690079106904538,3.367779779959596
,,6,completed,,,2026-06-12T13:54:35.555033,2026-06-12T13:54:35.605820,/Users/cianely/zX/zdt1test/runs/run_6,0.0,0.9622810149277676,0.5164542388244592,0.2464592348239249,0.3058923626277753,0.0626707493278894,0.4608539761773816,0.1662735592731044,0.6280148783224193,0.3906256761465988,0.1265771382961339,0.9622810149277676,1.9656335832549752
,,7,completed,,,2026-06-12T13:54:35.608323,2026-06-12T13:54:35.660532,/Users/cianely/zX/zdt1test/runs/run_7,0.0,0.3589836492739846,0.3813623962890325,0.4052989497109198,0.8601360847846926,0.7530174231144112,0.5462354130348339,0.6524266140350021,0.6519723685804858,0.7383645360572513,0.0596031708989215,0.3589836492739846,4.574889626804127
,,8,completed,,,2026-06-12T13:54:35.662787,2026-06-12T13:54:35.712388,/Users/cianely/zX/zdt1test/runs/run_8,0.0,0.5207581150240262,0.9176455469335308,0.0974680883990524,0.8663326836574835,0.1223931640312493,0.9201897152352856,0.6898229125833644,0.7414681736343602,0.0877304676489882,0.7655942295476008,0.5207581150240262,4.410534234940245
,,9,completed,,,2026-06-12T13:54:35.714546,2026-06-12T13:54:35.773593,/Users/cianely/zX/zdt1test/runs/run_9,0.0,0.0183891269026272,0.5885639643622371,0.1367212791822101,0.6863168920083953,0.5789525362306928,0.7132128852022832,0.3216655350211598,0.6315405354726149,0.0753711625823162,0.2716764042412675,0.0183891269026272,4.700673900322371
,,10,completed,,,2026-06-12T13:54:35.776028,2026-06-12T13:54:35.823557,/Users/cianely/zX/zdt1test/runs/run_10,0.0,0.224988133954483,0.5318763455303596,0.5056135583934893,0.0624456547705641,0.9030482610671822,0.3357476260051332,0.6373635237685619,0.8302936091940716,0.4507338360735105,0.842945605439848,0.224988133954483,4.928554929889127
,,11,completed,,,2026-06-12T13:54:35.825710,2026-06-12T13:54:35.871475,/Users/cianely/zX/zdt1test/runs/run_11,0.0,0.5258248788173124,0.2267153652273759,0.9621586129029082,0.7939790532205618,0.3408008110512208,0.7613551875821399,0.3468101582234332,0.0965758269254583,0.8027438310739851,0.651563798478733,0.5258248788173124,4.209047127641446
,,12,completed,,,2026-06-12T13:54:35.873589,2026-06-12T13:54:35.920400,/Users/cianely/zX/zdt1test/runs/run_12,0.0,0.870345355873609,0.219764413073108,0.073700058250379,0.8753409847186217,0.4117559324493323,0.2391997041301667,0.3480103276022119,0.1236075043063875,0.4938984023877267,0.3251538342841669,0.870345355873609,2.219004537779872
,,13,completed,,,2026-06-12T13:54:35.922885,2026-06-12T13:54:35.967203,/Users/cianely/zX/zdt1test/runs/run_13,0.0,0.4228255026707758,0.5142860271384366,0.6034212375917415,0.150120782459564,0.0923693823811736,0.490102060675851,0.8642112783087604,0.5457417061612057,0.4447254681167607,0.2274982340356915,0.4228255026707758,3.488323581436023
,,14,completed,,,2026-06-12T13:54:35.969511,2026-06-12T13:54:36.025418,/Users/cianely/zX/zdt1test/runs/run_14,0.0,0.3659118318379243,0.8171639801260615,0.369333270322924,0.9971192511303424,0.0875953870466511,0.9881830139799062,0.5707726988364923,0.1024324043647127,0.516883576074748,0.9681382487068604,0.3659118318379243,4.885210736895573
,,15,completed,,,2026-06-12T13:54:36.028122,2026-06-12T13:54:36.077621,/Users/cianely/zX/zdt1test/runs/run_15,0.0,0.2322559086460154,0.9089368320365286,0.6666571661406916,0.8047501210427562,0.9933394662879454,0.0030936298947084,0.0972885538541639,0.8382077915645294,0.7180763881179518,0.869852821242752,0.2322559086460154,5.634259302158918
,,16,completed,,,2026-06-12T13:54:36.079994,2026-06-12T13:54:36.128865,/Users/cianely/zX/zdt1test/runs/run_16,0.0,0.2525387081620034,0.7921725759929846,0.7651312993991456,0.7931437954504726,0.3566440943263822,0.047627644531064,0.7936514445388968,0.6574167747708874,0.1917476956357185,0.6846354370768,0.2525387081620034,4.842822728688018
,,17,completed,,,2026-06-12T13:54:36.131340,2026-06-12T13:54:36.180126,/Users/cianely/zX/zdt1test/runs/run_17,0.0,0.0668133600694352,0.2054753283254217,0.5415951937818961,0.7992012917548155,0.1626442631399594,0.9889374042558324,0.9090711719032044,0.3914313078190109,0.6791356762291493,0.7256831801703058,0.0668133600694352,5.749097127299033
,,18,completed,,,2026-06-12T13:54:36.182602,2026-06-12T13:54:36.237445,/Users/cianely/zX/zdt1test/runs/run_18,0.0,0.7246816140344206,0.8592850259460575,0.0248299045400878,0.1357506026334917,0.4603910446823097,0.4925444944089691,0.08239915361885,0.852637452738075,0.5409285861445354,0.1383513709171308,0.7246816140344206,2.763878810912968
,,19,completed,,,2026-06-12T13:54:36.240623,2026-06-12T13:54:36.291097,/Users/cianely/zX/zdt1test/runs/run_19,0.0,0.336012528957986,0.3943237956595518,0.0226305253395189,0.1491744287311632,0.7864857713601252,0.0417636849455939,0.5748550019729513,0.2470687092286351,0.420854472623249,0.4118962840056666,0.336012528957986,2.8826340402575936
,,20,completed,,,2026-06-12T13:54:36.293439,2026-06-12T13:54:36.344756,/Users/cianely/zX/zdt1test/runs/run_20,0.0,0.8563971106228698,0.305434519003539,0.6694756202031706,0.7089065032542542,0.3143329938035542,0.3204727744787667,0.3115637231650729,0.3019731526884115,0.8370788064057033,0.7993985931583483,0.8563971106228698,3.384840823875007
,,21,completed,,,2026-06-12T13:54:36.346836,2026-06-12T13:54:36.395837,/Users/cianely/zX/zdt1test/runs/run_21,0.0,0.8036108288232057,0.1329872845649694,0.4683432661230819,0.3038982869348163,0.1671528953058202,0.0343659005648175,0.374020888795135,0.3672661661922728,0.608795346879487,0.3286207323760977,0.8036108288232057,2.041309366092076
,,22,completed,,,2026-06-12T13:54:36.398664,2026-06-12T13:54:36.452835,/Users/cianely/zX/zdt1test/runs/run_22,0.0,0.8951614334497838,0.5357178822209595,0.0602381880051426,0.4583605796438756,0.3095825228642106,0.5302428444017973,0.6932405106765196,0.8124940675539746,0.1020320241166157,0.4613837051650276,0.8951614334497838,2.8554621910836744
,,23,completed,,,2026-06-12T13:54:36.455092,2026-06-12T13:54:36.507135,/Users/cianely/zX/zdt1test/runs/run_23,0.0,0.6053797107363513,0.3591726973549461,0.8840761137502577,0.4581802028627004,0.0423874512065626,0.4635411952718777,0.2480772424975177,0.4708393229828916,0.2852501703809139,0.2101890309190429,0.6053797107363513,2.7856157542458013
,,24,completed,,,2026-06-12T13:54:36.509566,2026-06-12T13:54:36.561560,/Users/cianely/zX/zdt1test/runs/run_24,0.0,0.303232358211549,0.5807470679263612,0.8600205313344605,0.47413145404661,0.0325573552105891,0.3080814400140991,0.3827453798192191,0.8988855610943579,0.4799376810544391,0.1775036395763291,0.303232358211549,3.9395507992596257
,,25,completed,,,2026-06-12T13:54:36.563661,2026-06-12T13:54:36.617021,/Users/cianely/zX/zdt1test/runs/run_25,0.0,0.9556757524602584,0.2771860720614671,0.0017207690181595,0.5606236437930922,0.0917277604967127,0.5280189676214999,0.8320685762249864,0.1780985752255899,0.1144236450122662,0.7162220059332809,0.9556757524602584,2.2729018738713567
